Machine,Cover_Tree,S,E_Stand
0,71.23,11,0.644959263963003
1,5.75,3,0.914213562373095
0,40.48,12,0.673366449400928
0,58.82,9,0.425846338420509
0,61.97,8,0.241811223248348
0,92.54,8,0.701979881671885
0,84.93,12,0.340738605516288
0,55.41,7,0.435587003675373
1,31.17,4,0.787084399596532
1,13.24,2,0.88988157484231
1,2.78,3,0.793204644929467
0,47.76,7,0.376481968341907
1,1.56,4,0.857217455642816
