pca1,pca2,SoilType,Slope
4.43840516653764,4.86921522853491,Dystric_cambisol,0
-0.259870498083701,-1.99613041759108,Dystric_cambisol,1
1.67221080666031,2.97339509952021,Eutric_cambisol,0
-1.6484108404053,0.342254371538469,Dystric_cambisol,0
0.237157577037484,0.520296320553939,Eutric_cambisol,0
2.47874388214951,-2.185946596125,Dystric_cambisol,2
3.04631076591397,-2.11768014998426,Dystric_cambisol,1
2.47874388214951,-2.185946596125,Dystric_cambisol,3
3.04631076591397,-2.11768014998426,Dystric_cambisol,1
-1.49973873101369,-0.964305049894817,Dystric_cambisol,3
-1.49973873101369,-0.964305049894817,Dystric_cambisol,1
-1.49973873101369,-0.964305049894817,Dystric_cambisol,2
-1.78073197960997,0.837105636207878,Dystric_cambisol,0
-0.623190696399447,-0.250506566063992,Dystric_cambisol,4
0.368115523029994,1.23997866458411,Dystric_cambisol,3
-1.69323748711984,-0.595865260186253,Dystric_cambisol,1
-1.69323748711984,-0.595865260186253,Dystric_cambisol,4
0.434227943078758,1.18550936319974,Dystric_cambisol,2
-3.00116556534599,1.48539073089565,Dystric_cambisol,0
-3.00116556534599,1.48539073089565,Eutric_cambisol,0
